iter=4770,loss=0.056114,psnr=25.018550
iter=4780,loss=0.056358,psnr=24.980934
iter=4790,loss=0.056676,psnr=24.931994
iter=4800,loss=0.057034,psnr=24.877326
iter=4810,loss=0.056878,psnr=24.901137
iter=4820,loss=0.056499,psnr=24.959114
iter=4830,loss=0.055538,psnr=25.108186
iter=4840,loss=0.054784,psnr=25.226848
iter=4850,loss=0.054713,psnr=25.238150
iter=4860,loss=0.054308,psnr=25.302658
iter=4870,loss=0.054121,psnr=25.332753
iter=4880,loss=0.054206,psnr=25.319114
iter=4890,loss=0.054305,psnr=25.303175
iter=4900,loss=0.053901,psnr=25.368118
iter=4910,loss=0.053880,psnr=25.371492
iter=4920,loss=0.054077,psnr=25.339786
iter=4930,loss=0.054251,psnr=25.311866
iter=4940,loss=0.054443,psnr=25.281181
iter=4950,loss=0.053983,psnr=25.354925
iter=4960,loss=0.053494,psnr=25.433839
iter=4970,loss=0.053542,psnr=25.426105
iter=4980,loss=0.053718,psnr=25.397583
iter=4990,loss=0.053942,psnr=25.361456
iter=5000,loss=0.054261,psnr=25.310323
iter=5010,loss=0.054243,psnr=25.313086
iter=5020,loss=0.054125,psnr=25.332110
iter=5030,loss=0.054160,psnr=25.326370
iter=5040,loss=0.053883,psnr=25.371026
iter=5050,loss=0.053880,psnr=25.371428
iter=5060,loss=0.054091,psnr=25.337500
iter=5070,loss=0.053744,psnr=25.393380
iter=5080,loss=0.052766,psnr=25.552971
iter=5090,loss=0.052537,psnr=25.590708
iter=5100,loss=0.052746,psnr=25.556205
iter=5110,loss=0.052884,psnr=25.533571
iter=5120,loss=0.052176,psnr=25.650544
iter=5130,loss=0.051910,psnr=25.694910
iter=5140,loss=0.051605,psnr=25.746092
iter=5150,loss=0.051683,psnr=25.733022
iter=5160,loss=0.051994,psnr=25.681013
iter=5170,loss=0.051954,psnr=25.687584
iter=5180,loss=0.052011,psnr=25.678133
iter=5190,loss=0.052168,psnr=25.651869
iter=5200,loss=0.051881,psnr=25.699842
iter=5210,loss=0.051836,psnr=25.707391
iter=5220,loss=0.051970,psnr=25.684946
iter=5230,loss=0.052206,psnr=25.645546
iter=5240,loss=0.052319,psnr=25.626729
iter=5250,loss=0.052499,psnr=25.597011
iter=5260,loss=0.052530,psnr=25.591814
iter=5270,loss=0.052490,psnr=25.598490
iter=5280,loss=0.052540,psnr=25.590183
iter=5290,loss=0.052679,psnr=25.567177
iter=5300,loss=0.052904,psnr=25.530163
iter=5310,loss=0.053005,psnr=25.513632
iter=5320,loss=0.053154,psnr=25.489358
iter=5330,loss=0.053341,psnr=25.458797
iter=5340,loss=0.053573,psnr=25.421091
iter=5350,loss=0.053855,psnr=25.375414
iter=5360,loss=0.053935,psnr=25.362612
iter=5370,loss=0.053869,psnr=25.373191
iter=5380,loss=0.053911,psnr=25.366440
iter=5390,loss=0.053463,psnr=25.438900
iter=5400,loss=0.053401,psnr=25.449067
iter=5410,loss=0.053590,psnr=25.418288
iter=5420,loss=0.053865,psnr=25.373787
iter=5430,loss=0.054225,psnr=25.315929
iter=5440,loss=0.054318,psnr=25.301157
iter=5450,loss=0.053610,psnr=25.415095
iter=5460,loss=0.052850,psnr=25.539040
iter=5470,loss=0.051867,psnr=25.702183
iter=5480,loss=0.051377,psnr=25.784702
iter=5490,loss=0.051445,psnr=25.773088
iter=5500,loss=0.051727,psnr=25.725664
iter=5510,loss=0.052067,psnr=25.668723
iter=5520,loss=0.052358,psnr=25.620418
iter=5530,loss=0.052608,psnr=25.578969
iter=5540,loss=0.052898,psnr=25.531285
iter=5550,loss=0.053038,psnr=25.508232
iter=5560,loss=0.052921,psnr=25.527361
iter=5570,loss=0.053054,psnr=25.505556
iter=5580,loss=0.053196,psnr=25.482358
iter=5590,loss=0.053153,psnr=25.489366
iter=5600,loss=0.053006,psnr=25.513509
iter=5610,loss=0.052718,psnr=25.560863
iter=5620,loss=0.052593,psnr=25.581408
iter=5630,loss=0.052562,psnr=25.586490
iter=5640,loss=0.052656,psnr=25.571030
iter=5650,loss=0.052760,psnr=25.553823
iter=5660,loss=0.052662,psnr=25.570009
iter=5670,loss=0.052731,psnr=25.558714
iter=5680,loss=0.052867,psnr=25.536379
iter=5690,loss=0.053052,psnr=25.505888
iter=5700,loss=0.053414,psnr=25.446821
iter=5710,loss=0.053194,psnr=25.482764
iter=5720,loss=0.052557,psnr=25.587415
iter=5730,loss=0.052437,psnr=25.607199
iter=5740,loss=0.052486,psnr=25.599194
iter=5750,loss=0.051723,psnr=25.726259
iter=5760,loss=0.051107,psnr=25.830429
iter=5770,loss=0.051112,psnr=25.829614
iter=5780,loss=0.051263,psnr=25.803984
iter=5790,loss=0.051280,psnr=25.800982
iter=5800,loss=0.051428,psnr=25.775963
iter=5810,loss=0.051680,psnr=25.733575
iter=5820,loss=0.051547,psnr=25.755967
iter=5830,loss=0.051399,psnr=25.780896
iter=5840,loss=0.051298,psnr=25.797942
iter=5850,loss=0.051278,psnr=25.801419
iter=5860,loss=0.051344,psnr=25.790200
iter=5870,loss=0.051313,psnr=25.795440
iter=5880,loss=0.051127,psnr=25.827034
iter=5890,loss=0.051116,psnr=25.828832
iter=5900,loss=0.051314,psnr=25.795249
iter=5910,loss=0.051429,psnr=25.775814
iter=5920,loss=0.051305,psnr=25.796806
iter=5930,loss=0.051102,psnr=25.831259
iter=5940,loss=0.051190,psnr=25.816338
iter=5950,loss=0.051360,psnr=25.787471
iter=5960,loss=0.050968,psnr=25.854011
iter=5970,loss=0.050475,psnr=25.938550
